old_url,found_in,old_intent,new_path,action,notes,gsc_clicks_16m,backlinks,verified_status,verified_date
/,sitemap-misc.xml,Homepage,/,KEEP,Single canonical host. http and non-canonical host variants 301 in one hop,,,,
/about/,sitemap-pt-page-2025-09.xml,About CVBS,/about/,KEEP,"Same intent, same URL, zero redirect",,,,
/about/reviews/,sitemap-pt-page-2014-12.xml,Testimonials,/client-stories/,301,,,,,
/bestvenue/,sitemap-pt-page-2014-12.xml; Google index,Venue Finding Service (title and H1 on the live page),/conference-venue-finding/,301,REDIRECTS.md currently sends this to destinations.html. Wrong intent. Check GSC: likely the page ranking for venue finding service searches,,,,
/groups/,sitemap-pt-page-2014-12.xml,Group accommodation,/group-accommodation/,301,,,,,
/relocation/,sitemap-pt-page-2014-12.xml,Corporate relocation accommodation,/corporate-accommodation/,301,Service renamed,,,,
/venuereviews/,sitemap-pt-page-2025-03.xml; Google index,Venue features (content lives on mailchi.mp),/venue-visits/,301,,,,,
/get-a-quote/,sitemap-pt-page-2014-12.xml,Quote request form,/submit-a-brief/,301,,,,,
/contact-us/,sitemap-pt-page-2014-12.xml,Contact,/contact-us/,KEEP,New page adopts the legacy URL,,,,
/privacy/,sitemap-pt-page-2014-12.xml; Google index,Privacy policy,/privacy/,KEEP,,,,,
/terms/,sitemap-pt-page-2014-12.xml,Terms,/terms/,KEEP,,,,,
/booking-terms/,sitemap-pt-page-2014-12.xml; Google index,Booking conditions,/terms/,REVIEW,301 to /terms/ only if Karen confirms booking conditions now live inside the terms page. Otherwise keep as its own page,,,,
/special-offers/,sitemap-pt-page-2015-02.xml; Google index,Special offers,/offers/,301,"MISSING from REDIRECTS.md, _redirects and .htaccess today",,,,
/news/the-best-room-layout-for-your-event/,sitemap-pt-post-2015-02.xml,Article: room layouts,,REVIEW,"Pick the closest guide, or write a room-setups guide and keep the equity. Never the homepage",,,,
/news/testing-the-blog/,sitemap-pt-post-2015-01.xml,Test post,,410,,,,,
/sitemap.html,sitemap-misc.xml,HTML sitemap,,410,No equivalent page. 410 rather than dumping on the homepage,,,,
/feed/,WordPress default,RSS feed,/guides/,REVIEW,Current map 301s to the guides index. Feed readers expect XML: either publish a guides feed or 410,,,,
/data/uploads/CVBS-Detailed-Quote-brief-to-print.pdf,Google index (found 11 Sep),Printable quote brief,/submit-a-brief/,301,Legacy upload outside WordPress; not in any sitemap,,,,
/data/uploads/*,Legacy uploads folder,Images and files,,REVIEW,"Crawl and GSC export. 301 anything with backlinks or traffic, 410 the rest",,,,
/wordpress/*,WordPress install path,Admin and core,,410,Never redirect admin paths,,,,
"/news/, /category/*, /tag/*, /author/*, /page/*, ?p=ID",WordPress defaults,Archives,,REVIEW,"Discover via crawl and GSC; map archives with traffic to /guides/, 410 the rest",,,,
